episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
81,1,q_learning,hidden,-268.5,120,0,4,18,1,0,0.72278047531315
82,1,q_learning,hidden,-255.0,120,0,4,16,1,0,0.7198893534118974
83,1,q_learning,hidden,-186.5,103,1,6,7,1,1,0.7170097959982499
84,1,q_learning,hidden,-40.0,27,1,3,3,1,1,0.7141417568142568
85,1,q_learning,hidden,-128.0,52,1,6,4,1,1,0.7112851897869998
86,1,q_learning,hidden,-401.0,120,0,12,13,1,0,0.7084400490278518
87,1,q_learning,hidden,-142.0,64,1,4,12,1,1,0.7056062888317404
88,1,q_learning,hidden,-171.5,71,1,6,9,1,1,0.7027838636764134
89,1,q_learning,hidden,-256.0,120,0,2,24,1,0,0.6999727282217078
90,1,q_learning,hidden,-169.0,50,1,8,5,1,1,0.697172837308821
91,1,q_learning,hidden,-375.5,104,1,15,8,1,1,0.6943841459595856
92,1,q_learning,hidden,7.0,30,1,0,5,1,1,0.6916066093757474
93,1,q_learning,hidden,-246.5,62,1,12,2,1,1,0.6888401829382443
94,1,q_learning,hidden,-460.5,118,1,17,14,1,1,0.6860848222064914
95,1,q_learning,hidden,-138.5,62,1,5,8,1,1,0.6833404829176654
96,1,q_learning,hidden,-256.5,106,1,8,12,1,1,0.6806071209859947
97,1,q_learning,hidden,-300.0,120,0,6,16,1,0,0.6778846925020507
98,1,q_learning,hidden,-87.5,47,1,3,9,1,1,0.6751731537320426
99,1,q_learning,hidden,-181.0,115,1,5,7,1,1,0.6724724611171143
100,1,q_learning,hidden,-174.5,91,1,5,10,1,1,0.6697825712726458
101,1,q_learning,hidden,-143.5,75,1,4,10,1,1,0.6671034409875554
102,1,q_learning,hidden,-192.0,103,1,6,8,1,1,0.664435027223605
103,1,q_learning,hidden,-27.0,34,1,1,7,1,1,0.6617772871147106
104,1,q_learning,hidden,-412.0,120,0,12,13,0,0,0.6591301779662518
