episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,6,q_learning,hidden,-580.0,120,0,19,18,0,0,1.0
1,6,q_learning,hidden,-500.0,120,0,15,21,1,0,0.996
2,6,q_learning,hidden,-661.5,120,0,24,16,1,0,0.992016
3,6,q_learning,hidden,-565.0,120,0,19,18,1,0,0.988047936
4,6,q_learning,hidden,-691.0,120,0,25,18,1,0,0.984095744256
5,6,q_learning,hidden,-528.0,120,0,17,19,1,0,0.980159361278976
6,6,q_learning,hidden,-617.5,120,0,22,14,0,0,0.9762387238338601
7,6,q_learning,hidden,-751.0,120,0,28,19,1,0,0.9723337689385246
8,6,q_learning,hidden,-555.5,120,0,20,10,0,0,0.9684444338627706
9,6,q_learning,hidden,-401.0,120,0,9,25,1,0,0.9645706561273194
10,6,q_learning,hidden,-425.0,120,0,11,19,0,0,0.9607123735028101
11,6,q_learning,hidden,-343.5,120,0,6,23,0,0,0.9568695240087989
12,6,q_learning,hidden,-632.5,120,0,23,13,0,0,0.9530420459127638
13,6,q_learning,hidden,-609.0,120,0,21,18,1,0,0.9492298777291127
14,6,q_learning,hidden,-412.5,120,0,11,16,0,0,0.9454329582181962
15,6,q_learning,hidden,-248.5,120,0,3,18,1,0,0.9416512263853234
16,6,q_learning,hidden,-565.5,120,0,18,20,0,0,0.9378846214797821
17,6,q_learning,hidden,-621.5,120,0,20,23,0,0,0.934133082993863
18,6,q_learning,hidden,-652.5,120,0,21,25,0,0,0.9303965506618875
19,6,q_learning,hidden,-432.0,120,0,9,29,0,0,0.92667496445924
20,6,q_learning,hidden,-416.5,98,1,15,18,1,1,0.922968264601403
21,6,q_learning,hidden,-559.5,120,0,19,15,0,0,0.9192763915429975
22,6,q_learning,hidden,-489.0,120,0,16,14,1,0,0.9155992859768254
23,6,q_learning,hidden,-441.0,120,0,12,21,1,0,0.9119368888329181
24,6,q_learning,hidden,-368.0,101,1,14,11,1,1,0.9082891412775864
25,6,q_learning,hidden,-337.0,120,0,6,22,0,0,0.9046559847124761
26,6,q_learning,hidden,-314.0,120,0,5,23,1,0,0.9010373607736262
27,6,q_learning,hidden,-476.5,120,0,13,24,1,0,0.8974332113305317
