episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,8,double_q_learning,observable,-633.0,120,0,22,19,1,0,1.0
1,8,double_q_learning,observable,-306.0,120,0,3,27,0,0,0.996
2,8,double_q_learning,observable,-406.0,120,0,11,17,1,0,0.992016
3,8,double_q_learning,observable,-502.0,120,0,14,22,0,0,0.988047936
4,8,double_q_learning,observable,-638.5,120,0,23,17,1,0,0.984095744256
5,8,double_q_learning,observable,-520.0,120,0,15,22,0,0,0.980159361278976
6,8,double_q_learning,observable,-720.5,120,0,27,17,1,0,0.9762387238338601
7,8,double_q_learning,observable,-828.5,120,0,30,25,1,0,0.9723337689385246
8,8,double_q_learning,observable,-322.0,73,1,10,23,1,1,0.9684444338627706
9,8,double_q_learning,observable,-237.0,120,0,2,20,1,0,0.9645706561273194
10,8,double_q_learning,observable,-497.0,120,0,14,24,1,0,0.9607123735028101
11,8,double_q_learning,observable,-520.0,120,0,16,18,0,0,0.9568695240087989
12,8,double_q_learning,observable,-820.5,120,0,32,14,0,0,0.9530420459127638
13,8,double_q_learning,observable,-583.5,120,0,20,17,1,0,0.9492298777291127
14,8,double_q_learning,observable,-456.5,120,0,13,20,1,0,0.9454329582181962
15,8,double_q_learning,observable,-426.0,120,0,10,23,0,0,0.9416512263853234
16,8,double_q_learning,observable,-744.5,120,0,27,19,0,0,0.9378846214797821
17,8,double_q_learning,observable,-305.0,120,0,4,26,1,0,0.934133082993863
18,8,double_q_learning,observable,-482.5,120,0,12,27,0,0,0.9303965506618875
19,8,double_q_learning,observable,-655.0,120,0,25,9,0,0,0.92667496445924
20,8,double_q_learning,observable,-507.0,120,0,16,16,0,0,0.922968264601403
21,8,double_q_learning,observable,-598.5,120,0,21,15,0,0,0.9192763915429975
22,8,double_q_learning,observable,-335.5,120,0,6,22,0,0,0.9155992859768254
23,8,double_q_learning,observable,-375.5,120,0,10,16,1,0,0.9119368888329181
24,8,double_q_learning,observable,-572.0,120,0,18,21,0,0,0.9082891412775864
25,8,double_q_learning,observable,-275.0,90,1,10,11,1,1,0.9046559847124761
26,8,double_q_learning,observable,-506.0,120,0,16,16,0,0,0.9010373607736262
27,8,double_q_learning,observable,-456.5,120,0,11,28,1,0,0.8974332113305317
28,8,double_q_learning,observable,-158.0,91,1,4,11,1,1,0.8938434784852095
29,8,double_q_learning,observable,-495.0,120,0,15,17,0,0,0.8902681045712687
30,8,double_q_learning,observable,-306.0,120,0,5,22,1,0,0.8867070321529836
31,8,double_q_learning,observable,-348.5,120,0,6,24,0,0,0.8831602040243717
32,8,double_q_learning,observable,-471.0,120,0,15,13,0,0,0.8796275632082742
33,8,double_q_learning,observable,-712.0,120,0,28,11,1,0,0.8761090529554411
34,8,double_q_learning,observable,-519.0,120,0,16,19,0,0,0.8726046167436193
35,8,double_q_learning,observable,-646.0,120,0,23,16,0,0,0.8691141982766448
36,8,double_q_learning,observable,-352.5,120,0,9,14,0,0,0.8656377414835382
37,8,double_q_learning,observable,-346.5,120,0,8,17,1,0,0.862175190517604
38,8,double_q_learning,observable,-411.5,120,0,11,17,0,0,0.8587264897555337
39,8,double_q_learning,observable,-395.0,120,0,9,24,1,0,0.8552915837965115
