episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,5,double_q_learning,observable,-464.5,120,0,14,15,0,0,1.0
1,5,double_q_learning,observable,-704.0,120,0,26,15,0,0,0.996
2,5,double_q_learning,observable,-796.0,120,0,33,6,0,0,0.992016
3,5,double_q_learning,observable,-680.5,120,0,23,25,1,0,0.988047936
4,5,double_q_learning,observable,-590.5,120,0,21,13,0,0,0.984095744256
5,5,double_q_learning,observable,-409.5,120,0,9,24,0,0,0.980159361278976
6,5,double_q_learning,observable,-534.5,120,0,17,19,1,0,0.9762387238338601
7,5,double_q_learning,observable,-398.0,120,0,9,24,1,0,0.9723337689385246
8,5,double_q_learning,observable,-376.0,120,0,7,28,1,0,0.9684444338627706
9,5,double_q_learning,observable,-439.0,120,0,13,16,1,0,0.9645706561273194
10,5,double_q_learning,observable,-397.0,120,0,11,14,0,0,0.9607123735028101
11,5,double_q_learning,observable,-426.0,120,0,12,18,1,0,0.9568695240087989
12,5,double_q_learning,observable,-462.0,120,0,15,13,1,0,0.9530420459127638
13,5,double_q_learning,observable,-494.0,120,0,14,23,1,0,0.9492298777291127
14,5,double_q_learning,observable,-391.0,120,0,9,20,0,0,0.9454329582181962
15,5,double_q_learning,observable,-239.5,120,0,0,28,1,0,0.9416512263853234
16,5,double_q_learning,observable,-578.0,120,0,21,12,1,0,0.9378846214797821
17,5,double_q_learning,observable,-611.0,120,0,21,18,1,0,0.934133082993863
18,5,double_q_learning,observable,-373.5,120,0,8,21,0,0,0.9303965506618875
19,5,double_q_learning,observable,-413.5,120,0,10,23,1,0,0.92667496445924
20,5,double_q_learning,observable,-656.5,120,0,21,27,1,0,0.922968264601403
21,5,double_q_learning,observable,-493.0,120,0,15,19,1,0,0.9192763915429975
22,5,double_q_learning,observable,-870.5,120,0,36,9,0,0,0.9155992859768254
23,5,double_q_learning,observable,-577.0,120,0,19,20,1,0,0.9119368888329181
24,5,double_q_learning,observable,-359.0,120,0,7,24,1,0,0.9082891412775864
25,5,double_q_learning,observable,-448.5,120,0,12,22,1,0,0.9046559847124761
26,5,double_q_learning,observable,-478.0,120,0,14,20,1,0,0.9010373607736262
27,5,double_q_learning,observable,-868.5,120,0,36,8,0,0,0.8974332113305317
28,5,double_q_learning,observable,-373.5,120,0,6,31,1,0,0.8938434784852095
29,5,double_q_learning,observable,-361.0,120,0,8,20,1,0,0.8902681045712687
30,5,double_q_learning,observable,-598.0,120,0,19,24,1,0,0.8867070321529836
31,5,double_q_learning,observable,-551.0,120,0,20,10,1,0,0.8831602040243717
32,5,double_q_learning,observable,-525.0,120,0,16,22,1,0,0.8796275632082742
33,5,double_q_learning,observable,-386.0,120,0,10,18,1,0,0.8761090529554411
34,5,double_q_learning,observable,-87.0,71,1,3,5,1,1,0.8726046167436193
35,5,double_q_learning,observable,-701.0,120,0,28,8,1,0,0.8691141982766448
36,5,double_q_learning,observable,-364.0,120,0,6,29,1,0,0.8656377414835382
37,5,double_q_learning,observable,-542.5,120,0,17,21,1,0,0.862175190517604
38,5,double_q_learning,observable,-367.0,120,0,8,22,1,0,0.8587264897555337
39,5,double_q_learning,observable,-371.5,120,0,9,19,1,0,0.8552915837965115
40,5,double_q_learning,observable,-182.5,120,0,0,18,1,0,0.8518704174613255
41,5,double_q_learning,observable,-433.0,120,0,14,12,1,0,0.8484629357914802
42,5,double_q_learning,observable,-493.0,120,0,16,15,1,0,0.8450690840483143
43,5,double_q_learning,observable,-613.5,120,0,21,20,1,0,0.841688807712121
44,5,double_q_learning,observable,-356.5,120,0,8,20,1,0,0.8383220524812726
45,5,double_q_learning,observable,-680.0,120,0,26,13,1,0,0.8349687642713475
46,5,double_q_learning,observable,-670.0,120,0,24,18,1,0,0.831628889214262
47,5,double_q_learning,observable,-378.5,120,0,9,20,1,0,0.828302373657405
48,5,double_q_learning,observable,-296.0,120,0,4,24,1,0,0.8249891641627753
49,5,double_q_learning,observable,-326.5,120,0,7,16,0,0,0.8216892075061243
50,5,double_q_learning,observable,-457.0,120,0,12,22,0,0,0.8184024506760997
51,5,double_q_learning,observable,-285.5,120,0,5,18,1,0,0.8151288408733953
52,5,double_q_learning,observable,-566.0,120,0,22,6,1,0,0.8118683255099017
53,5,double_q_learning,observable,-467.5,120,0,15,12,0,0,0.8086208522078622
54,5,double_q_learning,observable,-305.0,120,0,6,18,1,0,0.8053863687990307
55,5,double_q_learning,observable,-389.0,120,0,12,11,1,0,0.8021648233238345
56,5,double_q_learning,observable,-349.5,120,0,10,11,1,0,0.7989561640305393
57,5,double_q_learning,observable,-485.5,120,0,17,11,1,0,0.795760339374417
58,5,double_q_learning,observable,-714.5,120,0,27,14,0,0,0.7925772980169195
59,5,double_q_learning,observable,-438.5,120,0,12,20,1,0,0.7894069888248517
60,5,double_q_learning,observable,-264.5,120,0,6,10,1,0,0.7862493608695523
61,5,double_q_learning,observable,-406.0,120,0,10,22,1,0,0.7831043634260741
62,5,double_q_learning,observable,-342.5,120,0,8,18,1,0,0.7799719459723699
63,5,double_q_learning,observable,-310.0,120,0,7,13,0,0,0.7768520581884804
64,5,double_q_learning,observable,-234.0,120,0,2,20,1,0,0.7737446499557264
65,5,double_q_learning,observable,-313.5,120,0,8,12,1,0,0.7706496713559035
66,5,double_q_learning,observable,-380.0,120,0,10,17,1,0,0.7675670726704799
67,5,double_q_learning,observable,-391.0,120,0,10,19,1,0,0.764496804379798
68,5,double_q_learning,observable,-367.5,120,0,9,18,1,0,0.7614388171622788
69,5,double_q_learning,observable,-426.0,120,0,13,12,0,0,0.7583930618936296
70,5,double_q_learning,observable,-416.5,120,0,13,12,1,0,0.7553594896460551
71,5,double_q_learning,observable,-445.0,120,0,12,20,0,0,0.7523380516874709
72,5,double_q_learning,observable,-487.5,120,0,16,13,0,0,0.749328699480721
73,5,double_q_learning,observable,-332.0,120,0,9,11,1,0,0.7463313846827981
74,5,double_q_learning,observable,-306.5,120,0,7,14,1,0,0.7433460591440669
75,5,double_q_learning,observable,-391.0,120,0,11,16,1,0,0.7403726749074907
76,5,double_q_learning,observable,-335.0,120,0,11,5,1,0,0.7374111842078607
77,5,double_q_learning,observable,-275.5,120,0,6,12,1,0,0.7344615394710292
78,5,double_q_learning,observable,-401.0,120,0,13,9,1,0,0.7315236933131452
79,5,double_q_learning,observable,-377.0,120,0,9,20,1,0,0.7285975985398926
80,5,double_q_learning,observable,-127.0,103,1,3,7,1,1,0.725683208145733
81,5,double_q_learning,observable,-389.5,120,0,10,18,1,0,0.72278047531315
82,5,double_q_learning,observable,-402.0,120,0,10,21,1,0,0.7198893534118974
83,5,double_q_learning,observable,-404.5,120,0,10,22,1,0,0.7170097959982499
84,5,double_q_learning,observable,-305.0,120,0,6,18,1,0,0.7141417568142568
85,5,double_q_learning,observable,-433.5,120,0,13,15,1,0,0.7112851897869998
86,5,double_q_learning,observable,-250.0,120,0,5,12,1,0,0.7084400490278518
87,5,double_q_learning,observable,-285.0,120,0,5,18,1,0,0.7056062888317404
88,5,double_q_learning,observable,-343.0,120,0,9,12,0,0,0.7027838636764134
89,5,double_q_learning,observable,-377.5,120,0,9,20,1,0,0.6999727282217078
90,5,double_q_learning,observable,-386.0,120,0,10,18,1,0,0.697172837308821
91,5,double_q_learning,observable,-451.0,120,0,14,15,1,0,0.6943841459595856
92,5,double_q_learning,observable,-387.5,120,0,12,10,1,0,0.6916066093757474
93,5,double_q_learning,observable,-353.5,120,0,9,16,1,0,0.6888401829382443
94,5,double_q_learning,observable,-339.5,120,0,9,13,1,0,0.6860848222064914
95,5,double_q_learning,observable,-259.5,120,0,6,9,1,0,0.6833404829176654
96,5,double_q_learning,observable,-448.0,120,0,14,14,1,0,0.6806071209859947
97,5,double_q_learning,observable,-360.0,120,0,10,12,1,0,0.6778846925020507
98,5,double_q_learning,observable,-266.5,120,0,3,21,0,0,0.6751731537320426
99,5,double_q_learning,observable,-415.5,120,0,12,16,1,0,0.6724724611171143
100,5,double_q_learning,observable,-348.5,120,0,9,14,1,0,0.6697825712726458
101,5,double_q_learning,observable,-202.5,120,0,3,9,1,0,0.6671034409875554
102,5,double_q_learning,observable,-140.5,79,1,4,10,1,1,0.664435027223605
103,5,double_q_learning,observable,-216.0,120,0,1,21,1,0,0.6617772871147106
104,5,double_q_learning,observable,-172.0,97,1,6,5,1,1,0.6591301779662518
105,5,double_q_learning,observable,-440.0,120,0,14,13,1,0,0.6564936572543868
106,5,double_q_learning,observable,-309.5,120,0,7,15,1,0,0.6538676826253692
107,5,double_q_learning,observable,-307.0,120,0,7,14,1,0,0.6512522118948678
108,5,double_q_learning,observable,-436.0,120,0,15,8,1,0,0.6486472030472883
109,5,double_q_learning,observable,-244.5,120,0,2,22,1,0,0.6460526142350992
110,5,double_q_learning,observable,-486.5,120,0,16,14,1,0,0.6434684037781587
111,5,double_q_learning,observable,-258.0,120,0,5,14,1,0,0.6408945301630461
112,5,double_q_learning,observable,-348.0,120,0,6,27,1,0,0.6383309520423939
113,5,double_q_learning,observable,-202.5,120,0,2,14,1,0,0.6357776282342243
114,5,double_q_learning,observable,-193.0,120,0,2,12,1,0,0.6332345177212875
115,5,double_q_learning,observable,-264.5,120,0,4,18,1,0,0.6307015796504023
116,5,double_q_learning,observable,-275.5,120,0,6,12,1,0,0.6281787733318007
117,5,double_q_learning,observable,-270.5,120,0,4,19,1,0,0.6256660582384734
118,5,double_q_learning,observable,-445.5,120,0,14,13,1,0,0.6231633940055196
119,5,double_q_learning,observable,-408.5,120,0,13,11,1,0,0.6206707404294975
120,5,double_q_learning,observable,-348.5,120,0,9,14,1,0,0.6181880574677795
121,5,double_q_learning,observable,-244.5,120,0,5,10,1,0,0.6157153052379084
122,5,double_q_learning,observable,-391.0,120,0,12,11,1,0,0.6132524440169568
123,5,double_q_learning,observable,-248.5,120,0,3,17,0,0,0.6107994342408889
124,5,double_q_learning,observable,-449.0,120,0,15,10,1,0,0.6083562365039253
125,5,double_q_learning,observable,-187.5,120,0,2,10,1,0,0.6059228115579096
126,5,double_q_learning,observable,-307.5,120,0,6,19,1,0,0.6034991203116781
127,5,double_q_learning,observable,-238.0,120,0,5,9,1,0,0.6010851238304313
128,5,double_q_learning,observable,-145.5,115,1,1,17,1,1,0.5986807833351095
129,5,double_q_learning,observable,-340.0,120,0,10,9,1,0,0.5962860602017691
130,5,double_q_learning,observable,-256.5,120,0,7,4,1,0,0.5939009159609621
131,5,double_q_learning,observable,-73.5,77,1,2,5,1,1,0.5915253122971182
132,5,double_q_learning,observable,-258.5,120,0,4,16,1,0,0.5891592110479298
133,5,double_q_learning,observable,-204.5,79,1,7,11,1,1,0.586802574203738
134,5,double_q_learning,observable,-403.5,120,0,13,10,1,0,0.5844553639069231
135,5,double_q_learning,observable,-193.5,120,0,1,14,0,0,0.5821175424512953
136,5,double_q_learning,observable,-245.5,120,0,4,14,1,0,0.5797890722814902
137,5,double_q_learning,observable,-285.5,120,0,7,11,1,0,0.5774699159923642
138,5,double_q_learning,observable,-103.0,95,1,2,8,1,1,0.5751600363283947
139,5,double_q_learning,observable,-175.5,120,0,1,12,1,0,0.5728593961830811
140,5,double_q_learning,observable,-251.0,120,0,4,15,1,0,0.5705679585983489
141,5,double_q_learning,observable,-111.5,85,1,2,11,1,1,0.5682856867639554
142,5,double_q_learning,observable,-219.0,117,1,5,16,1,1,0.5660125440168996
143,5,double_q_learning,observable,-182.5,84,1,5,13,1,1,0.563748493840832
144,5,double_q_learning,observable,-10.0,66,1,0,3,1,1,0.5614934998654687
145,5,double_q_learning,observable,-238.5,116,1,7,11,1,1,0.5592475258660068
146,5,double_q_learning,observable,-244.5,120,0,4,14,1,0,0.5570105357625428
147,5,double_q_learning,observable,-397.5,120,0,13,8,1,0,0.5547824936194926
148,5,double_q_learning,observable,-181.5,111,1,5,9,1,1,0.5525633636450147
149,5,double_q_learning,observable,-337.0,120,0,10,9,1,0,0.5503531101904345
150,5,double_q_learning,observable,-518.5,120,0,18,12,1,0,0.5481516977496729
151,5,double_q_learning,observable,-274.0,120,0,5,16,1,0,0.5459590909586741
152,5,double_q_learning,observable,-280.0,120,0,8,5,1,0,0.5437752545948394
153,5,double_q_learning,observable,-205.0,120,0,3,8,0,0,0.5416001535764601
154,5,double_q_learning,observable,-292.5,120,0,7,11,1,0,0.5394337529621542
155,5,double_q_learning,observable,-429.5,120,0,14,11,1,0,0.5372760179503057
156,5,double_q_learning,observable,-116.5,93,1,4,3,1,1,0.5351269138785044
157,5,double_q_learning,observable,-195.0,100,1,5,14,1,1,0.5329864062229904
158,5,double_q_learning,observable,-278.5,120,0,7,9,1,0,0.5308544605980984
159,5,double_q_learning,observable,-229.0,120,0,4,10,1,0,0.528731042755706
160,5,double_q_learning,observable,-197.0,120,0,2,12,1,0,0.5266161185846832
161,5,double_q_learning,observable,-183.5,120,0,3,6,1,0,0.5245096541103444
162,5,double_q_learning,observable,-172.0,120,0,2,8,1,0,0.5224116154939031
163,5,double_q_learning,observable,-67.5,83,1,2,3,1,1,0.5203219690319275
164,5,double_q_learning,observable,-259.5,120,0,5,13,1,0,0.5182406811557998
165,5,double_q_learning,observable,-78.5,60,1,2,10,1,1,0.5161677184311766
166,5,double_q_learning,observable,-207.5,120,0,3,11,1,0,0.5141030475574518
167,5,double_q_learning,observable,-199.5,120,0,3,9,1,0,0.5120466353672221
168,5,double_q_learning,observable,-252.5,120,0,3,20,1,0,0.5099984488257532
169,5,double_q_learning,observable,-322.0,120,0,8,13,1,0,0.5079584550304501
170,5,double_q_learning,observable,-133.0,77,1,4,9,1,1,0.5059266212103284
171,5,double_q_learning,observable,-429.5,120,0,15,7,1,0,0.503902914725487
172,5,double_q_learning,observable,-176.5,120,0,2,9,1,0,0.5018873030665851
173,5,double_q_learning,observable,-307.0,120,0,7,14,1,0,0.4998797538543187
174,5,double_q_learning,observable,-368.0,120,0,10,14,1,0,0.4978802348389015
175,5,double_q_learning,observable,-51.0,58,1,1,8,1,1,0.49588871389954586
176,5,double_q_learning,observable,-228.0,120,0,5,7,1,0,0.49390515904394766
177,5,double_q_learning,observable,-206.5,120,0,2,15,1,0,0.49192953840777187
178,5,double_q_learning,observable,-223.0,120,0,3,14,1,0,0.4899618202541408
179,5,double_q_learning,observable,-71.5,57,1,1,12,1,1,0.4880019729731242
180,5,double_q_learning,observable,-258.0,120,0,6,9,1,0,0.4860499650812317
181,5,double_q_learning,observable,-172.0,120,0,2,7,1,0,0.4841057652209068
182,5,double_q_learning,observable,-173.5,120,0,1,12,1,0,0.48216934216002316
183,5,double_q_learning,observable,-72.5,85,1,1,7,1,1,0.48024066479138305
184,5,double_q_learning,observable,-129.0,100,1,4,4,1,1,0.47831970213221753
185,5,double_q_learning,observable,-302.5,120,0,8,10,1,0,0.47640642332368865
186,5,double_q_learning,observable,-261.0,120,0,6,8,0,0,0.47450079763039393
187,5,double_q_learning,observable,-262.5,120,0,8,2,1,0,0.47260279443987235
188,5,double_q_learning,observable,-365.5,120,0,12,7,1,0,0.47071238326211284
189,5,double_q_learning,observable,-259.0,120,0,7,6,1,0,0.4688295337290644
190,5,double_q_learning,observable,3.0,38,1,1,1,1,1,0.4669542155941481
191,5,double_q_learning,observable,-103.0,82,1,2,10,1,1,0.46508639873177154
192,5,double_q_learning,observable,-254.0,120,0,4,16,1,0,0.46322605313684445
193,5,double_q_learning,observable,3.5,36,1,0,5,1,1,0.46137314892429704
194,5,double_q_learning,observable,-258.0,120,0,6,9,1,0,0.4595276563285999
195,5,double_q_learning,observable,-134.5,107,1,4,5,1,1,0.45768954570328546
196,5,double_q_learning,observable,-186.5,120,0,3,7,1,0,0.4558587875204723
197,5,double_q_learning,observable,-137.5,120,0,0,7,0,0,0.45403535237039044
198,5,double_q_learning,observable,-210.5,120,0,4,7,1,0,0.4522192109609089
199,5,double_q_learning,observable,-155.0,120,0,2,4,1,0,0.4504103341170652
200,5,double_q_learning,observable,-181.0,108,1,6,6,1,1,0.44860869278059695
201,5,double_q_learning,observable,-97.5,64,1,4,4,1,1,0.4468142580094746
202,5,double_q_learning,observable,-253.5,120,0,2,22,0,0,0.4450270009774367
203,5,double_q_learning,observable,8.0,24,1,1,2,1,1,0.44324689297352693
204,5,double_q_learning,observable,-284.0,120,0,7,10,1,0,0.44147390540163284
205,5,double_q_learning,observable,-272.5,120,0,4,19,1,0,0.4397080097800263
206,5,double_q_learning,observable,-174.0,120,0,2,8,1,0,0.4379491777409062
207,5,double_q_learning,observable,-217.5,120,0,5,5,1,0,0.43619738102994254
208,5,double_q_learning,observable,-246.5,120,0,6,6,1,0,0.43445259150582277
209,5,double_q_learning,observable,-36.5,73,1,0,7,1,1,0.4327147811397995
210,5,double_q_learning,observable,-14.5,49,1,1,2,1,1,0.4309839220152403
211,5,double_q_learning,observable,-279.5,120,0,7,9,1,0,0.4292599863271793
212,5,double_q_learning,observable,-94.0,94,1,1,11,1,1,0.4275429463818706
213,5,double_q_learning,observable,-79.5,93,1,2,4,1,1,0.4258327745963431
214,5,double_q_learning,observable,-125.0,112,1,2,9,1,1,0.4241294434979578
215,5,double_q_learning,observable,-143.0,120,0,1,6,1,0,0.4224329257239659
216,5,double_q_learning,observable,-313.5,120,0,9,8,1,0,0.4207431940210701
217,5,double_q_learning,observable,-93.0,114,1,0,11,1,1,0.41906022124498576
218,5,double_q_learning,observable,-192.0,120,0,4,4,1,0,0.41738398036000585
219,5,double_q_learning,observable,-259.0,120,0,6,9,1,0,0.4157144444385658
220,5,double_q_learning,observable,-288.0,120,0,9,3,1,0,0.41405158666081154
221,5,double_q_learning,observable,-171.0,120,0,1,12,1,0,0.4123953803141683
222,5,double_q_learning,observable,-76.0,97,1,1,6,1,1,0.4107457987929116
223,5,double_q_learning,observable,-81.0,80,1,3,2,1,1,0.40910281559774
224,5,double_q_learning,observable,-220.0,120,0,3,14,1,0,0.40746640433534903
225,5,double_q_learning,observable,-223.5,120,0,5,7,1,0,0.4058365387180076
226,5,double_q_learning,observable,-38.5,36,1,2,5,1,1,0.4042131925631356
227,5,double_q_learning,observable,-67.5,40,1,3,6,1,1,0.40259633979288306
228,5,double_q_learning,observable,-271.0,120,0,6,11,1,0,0.4009859544337115
229,5,double_q_learning,observable,-13.0,65,1,0,3,1,1,0.39938201061597667
230,5,double_q_learning,observable,-41.0,80,1,1,2,1,1,0.39778448257351273
231,5,double_q_learning,observable,11.5,40,1,0,3,1,1,0.3961933446432187
232,5,double_q_learning,observable,-132.0,120,0,0,8,1,0,0.3946085712646458
233,5,double_q_learning,observable,-70.0,100,1,1,5,1,1,0.3930301369795872
234,5,double_q_learning,observable,-217.0,120,0,4,8,1,0,0.3914580164316689
