episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,7,double_q_learning,observable,-400.5,120,0,11,15,0,0,1.0
1,7,double_q_learning,observable,-330.5,120,0,4,29,0,0,0.996
2,7,double_q_learning,observable,-472.5,120,0,13,23,1,0,0.992016
3,7,double_q_learning,observable,-663.5,120,0,25,11,0,0,0.988047936
4,7,double_q_learning,observable,-482.5,120,0,15,17,1,0,0.984095744256
5,7,double_q_learning,observable,-533.5,120,0,17,19,1,0,0.980159361278976
6,7,double_q_learning,observable,-772.5,120,0,32,5,0,0,0.9762387238338601
7,7,double_q_learning,observable,-538.5,120,0,18,14,0,0,0.9723337689385246
8,7,double_q_learning,observable,-396.0,120,0,10,19,1,0,0.9684444338627706
9,7,double_q_learning,observable,-361.5,120,0,5,32,1,0,0.9645706561273194
10,7,double_q_learning,observable,-693.5,120,0,26,15,1,0,0.9607123735028101
11,7,double_q_learning,observable,-348.0,106,1,10,23,1,1,0.9568695240087989
12,7,double_q_learning,observable,-435.5,120,0,11,21,0,0,0.9530420459127638
13,7,double_q_learning,observable,-438.5,120,0,11,24,1,0,0.9492298777291127
14,7,double_q_learning,observable,-466.0,120,0,15,12,0,0,0.9454329582181962
15,7,double_q_learning,observable,-772.0,120,0,30,13,0,0,0.9416512263853234
16,7,double_q_learning,observable,-562.5,120,0,19,17,1,0,0.9378846214797821
17,7,double_q_learning,observable,-294.5,120,0,2,31,1,0,0.934133082993863
18,7,double_q_learning,observable,-625.5,120,0,22,15,0,0,0.9303965506618875
19,7,double_q_learning,observable,-735.5,120,0,27,17,0,0,0.92667496445924
20,7,double_q_learning,observable,-719.5,120,0,26,21,1,0,0.922968264601403
21,7,double_q_learning,observable,-598.0,120,0,21,16,1,0,0.9192763915429975
22,7,double_q_learning,observable,-448.0,120,0,12,22,1,0,0.9155992859768254
23,7,double_q_learning,observable,-477.0,120,0,13,24,1,0,0.9119368888329181
24,7,double_q_learning,observable,-602.0,120,0,22,13,1,0,0.9082891412775864
25,7,double_q_learning,observable,-214.0,87,1,7,11,1,1,0.9046559847124761
26,7,double_q_learning,observable,-276.5,95,1,8,18,1,1,0.9010373607736262
27,7,double_q_learning,observable,-305.5,120,0,5,21,1,0,0.8974332113305317
28,7,double_q_learning,observable,-287.5,120,0,5,17,0,0,0.8938434784852095
29,7,double_q_learning,observable,-510.5,120,0,18,11,1,0,0.8902681045712687
30,7,double_q_learning,observable,-796.0,120,0,30,18,0,0,0.8867070321529836
31,7,double_q_learning,observable,-553.5,120,0,18,19,1,0,0.8831602040243717
32,7,double_q_learning,observable,-500.5,120,0,17,12,1,0,0.8796275632082742
33,7,double_q_learning,observable,-303.5,120,0,6,17,1,0,0.8761090529554411
34,7,double_q_learning,observable,-526.5,120,0,18,14,1,0,0.8726046167436193
35,7,double_q_learning,observable,-637.5,120,0,24,10,0,0,0.8691141982766448
36,7,double_q_learning,observable,-243.0,120,0,3,18,1,0,0.8656377414835382
37,7,double_q_learning,observable,-572.5,120,0,17,25,0,0,0.862175190517604
38,7,double_q_learning,observable,-561.5,120,0,21,9,1,0,0.8587264897555337
39,7,double_q_learning,observable,-425.5,120,0,11,19,0,0,0.8552915837965115
40,7,double_q_learning,observable,-543.0,120,0,15,29,1,0,0.8518704174613255
41,7,double_q_learning,observable,-396.5,120,0,10,18,0,0,0.8484629357914802
42,7,double_q_learning,observable,-436.5,120,0,14,10,0,0,0.8450690840483143
43,7,double_q_learning,observable,-859.0,120,0,36,7,0,0,0.841688807712121
44,7,double_q_learning,observable,-569.5,120,0,19,17,0,0,0.8383220524812726
45,7,double_q_learning,observable,-440.5,120,0,15,7,0,0,0.8349687642713475
46,7,double_q_learning,observable,-460.0,120,0,13,21,1,0,0.831628889214262
47,7,double_q_learning,observable,-370.0,120,0,7,26,1,0,0.828302373657405
48,7,double_q_learning,observable,-539.0,120,0,18,17,1,0,0.8249891641627753
49,7,double_q_learning,observable,-458.5,120,0,14,15,0,0,0.8216892075061243
50,7,double_q_learning,observable,-637.5,120,0,23,15,1,0,0.8184024506760997
51,7,double_q_learning,observable,-239.5,120,0,1,24,1,0,0.8151288408733953
52,7,double_q_learning,observable,-530.5,120,0,17,18,1,0,0.8118683255099017
53,7,double_q_learning,observable,-297.0,120,0,5,20,1,0,0.8086208522078622
54,7,double_q_learning,observable,-318.0,120,0,7,15,0,0,0.8053863687990307
55,7,double_q_learning,observable,-222.5,120,0,4,10,1,0,0.8021648233238345
56,7,double_q_learning,observable,-304.5,120,0,7,14,1,0,0.7989561640305393
57,7,double_q_learning,observable,-341.0,120,0,8,15,0,0,0.795760339374417
58,7,double_q_learning,observable,-387.0,120,0,11,13,0,0,0.7925772980169195
59,7,double_q_learning,observable,-389.0,120,0,12,11,1,0,0.7894069888248517
60,7,double_q_learning,observable,-268.5,120,0,5,12,0,0,0.7862493608695523
61,7,double_q_learning,observable,-551.5,120,0,20,11,1,0,0.7831043634260741
62,7,double_q_learning,observable,-231.5,120,0,2,20,1,0,0.7799719459723699
63,7,double_q_learning,observable,-466.5,120,0,14,18,1,0,0.7768520581884804
64,7,double_q_learning,observable,-245.0,120,0,4,14,1,0,0.7737446499557264
65,7,double_q_learning,observable,-284.0,120,0,3,25,1,0,0.7706496713559035
66,7,double_q_learning,observable,-382.0,120,0,11,14,1,0,0.7675670726704799
67,7,double_q_learning,observable,-538.0,120,0,20,8,1,0,0.764496804379798
68,7,double_q_learning,observable,-518.0,120,0,17,17,1,0,0.7614388171622788
69,7,double_q_learning,observable,-312.5,120,0,8,12,1,0,0.7583930618936296
70,7,double_q_learning,observable,-354.0,120,0,9,16,1,0,0.7553594896460551
71,7,double_q_learning,observable,-352.5,120,0,11,7,1,0,0.7523380516874709
72,7,double_q_learning,observable,-318.0,120,0,9,9,1,0,0.749328699480721
73,7,double_q_learning,observable,-379.0,120,0,10,16,1,0,0.7463313846827981
74,7,double_q_learning,observable,-575.0,120,0,21,12,1,0,0.7433460591440669
75,7,double_q_learning,observable,-304.5,120,0,7,14,1,0,0.7403726749074907
76,7,double_q_learning,observable,-331.0,120,0,7,18,1,0,0.7374111842078607
77,7,double_q_learning,observable,-299.0,120,0,4,25,1,0,0.7344615394710292
78,7,double_q_learning,observable,-427.5,120,0,11,23,1,0,0.7315236933131452
79,7,double_q_learning,observable,-300.5,120,0,6,17,1,0,0.7285975985398926
80,7,double_q_learning,observable,-410.0,120,0,13,11,1,0,0.725683208145733
81,7,double_q_learning,observable,-443.0,120,0,15,10,1,0,0.72278047531315
82,7,double_q_learning,observable,-117.0,62,1,5,5,1,1,0.7198893534118974
83,7,double_q_learning,observable,-271.0,120,0,4,19,1,0,0.7170097959982499
84,7,double_q_learning,observable,-448.0,120,0,13,18,1,0,0.7141417568142568
85,7,double_q_learning,observable,-333.5,120,0,9,11,1,0,0.7112851897869998
86,7,double_q_learning,observable,-395.0,120,0,12,12,1,0,0.7084400490278518
87,7,double_q_learning,observable,-526.5,120,0,19,10,1,0,0.7056062888317404
88,7,double_q_learning,observable,-386.5,120,0,10,18,1,0,0.7027838636764134
89,7,double_q_learning,observable,-313.0,120,0,7,16,1,0,0.6999727282217078
90,7,double_q_learning,observable,-205.0,120,0,0,22,1,0,0.697172837308821
91,7,double_q_learning,observable,-378.0,120,0,10,16,1,0,0.6943841459595856
92,7,double_q_learning,observable,-268.5,120,0,5,14,1,0,0.6916066093757474
93,7,double_q_learning,observable,-339.5,120,0,8,18,1,0,0.6888401829382443
94,7,double_q_learning,observable,-434.5,120,0,12,20,1,0,0.6860848222064914
95,7,double_q_learning,observable,-336.5,120,0,9,12,1,0,0.6833404829176654
96,7,double_q_learning,observable,-239.0,120,0,5,9,1,0,0.6806071209859947
97,7,double_q_learning,observable,-265.0,120,0,6,10,1,0,0.6778846925020507
98,7,double_q_learning,observable,-247.5,120,0,4,15,1,0,0.6751731537320426
99,7,double_q_learning,observable,-397.5,120,0,10,20,1,0,0.6724724611171143
100,7,double_q_learning,observable,-47.5,76,1,0,8,1,1,0.6697825712726458
101,7,double_q_learning,observable,-198.5,85,1,7,8,1,1,0.6671034409875554
102,7,double_q_learning,observable,-260.5,120,0,6,10,1,0,0.664435027223605
103,7,double_q_learning,observable,-239.5,120,0,3,16,1,0,0.6617772871147106
104,7,double_q_learning,observable,-320.0,120,0,10,6,1,0,0.6591301779662518
105,7,double_q_learning,observable,-322.5,120,0,9,10,1,0,0.6564936572543868
