episode,seed,algo,wind_mode,return,steps,success,violations,collisions,pickup_success,dropoff_success,epsilon
0,2,q_learning,hidden,-397.5,120,0,11,16,1,0,1.0
1,2,q_learning,hidden,-408.5,115,1,14,17,1,1,0.996
2,2,q_learning,hidden,-715.5,120,0,26,18,0,0,0.992016
3,2,q_learning,hidden,-978.0,120,0,42,9,1,0,0.988047936
4,2,q_learning,hidden,-199.5,47,1,9,7,1,1,0.984095744256
5,2,q_learning,hidden,-822.0,120,0,32,16,0,0,0.980159361278976
6,2,q_learning,hidden,-536.0,120,0,18,14,0,0,0.9762387238338601
7,2,q_learning,hidden,-622.0,120,0,21,21,1,0,0.9723337689385246
8,2,q_learning,hidden,-437.5,120,0,12,20,1,0,0.9684444338627706
9,2,q_learning,hidden,-536.0,120,0,15,27,1,0,0.9645706561273194
10,2,q_learning,hidden,-811.5,120,0,32,13,0,0,0.9607123735028101
11,2,q_learning,hidden,-526.0,120,0,16,21,1,0,0.9568695240087989
12,2,q_learning,hidden,-225.0,120,0,0,25,1,0,0.9530420459127638
13,2,q_learning,hidden,-439.0,120,0,14,11,0,0,0.9492298777291127
14,2,q_learning,hidden,-302.0,90,1,12,8,1,1,0.9454329582181962
15,2,q_learning,hidden,-419.0,120,0,13,11,0,0,0.9416512263853234
16,2,q_learning,hidden,-664.5,110,1,28,14,1,1,0.9378846214797821
17,2,q_learning,hidden,-551.0,120,0,18,17,0,0,0.934133082993863
18,2,q_learning,hidden,-718.5,120,0,26,20,1,0,0.9303965506618875
19,2,q_learning,hidden,-702.5,120,0,26,16,0,0,0.92667496445924
20,2,q_learning,hidden,-588.0,120,0,20,18,1,0,0.922968264601403
21,2,q_learning,hidden,-409.0,120,0,10,20,0,0,0.9192763915429975
22,2,q_learning,hidden,-597.0,120,0,21,15,0,0,0.9155992859768254
23,2,q_learning,hidden,-382.0,120,0,8,25,1,0,0.9119368888329181
24,2,q_learning,hidden,-286.0,120,0,4,22,1,0,0.9082891412775864
25,2,q_learning,hidden,-685.5,120,0,26,14,1,0,0.9046559847124761
26,2,q_learning,hidden,-95.5,84,1,2,9,1,1,0.9010373607736262
27,2,q_learning,hidden,-590.5,120,0,22,9,0,0,0.8974332113305317
28,2,q_learning,hidden,-509.0,120,0,14,26,1,0,0.8938434784852095
29,2,q_learning,hidden,-686.0,120,0,25,16,0,0,0.8902681045712687
30,2,q_learning,hidden,-380.5,120,0,5,37,1,0,0.8867070321529836
31,2,q_learning,hidden,-687.0,120,0,24,20,0,0,0.8831602040243717
