num_episodes,avg_return,std_return,success_rate,avg_steps,std_steps,violation_rate,avg_violations,collision_rate,avg_collisions,pickup_rate,dropoff_rate,algo,wind_mode,seed,model_path
100,37.42,4.099219437893024,1.0,21.2,3.1368774282716245,0.0,0.0,0.25,0.32,1.0,1.0,q_learning,observable,4,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_observable_seed_4.npy
100,38.24,3.5717502712255795,1.0,21.25,2.8613807855648994,0.0,0.0,0.18,0.21,1.0,1.0,q_learning,observable,5,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_observable_seed_5.npy
100,37.83,3.9103836128952874,1.0,20.87,2.707969719180774,0.0,0.0,0.21,0.28,1.0,1.0,q_learning,observable,6,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_observable_seed_6.npy
100,37.425,4.592044751524096,1.0,21.41,3.7312062392743717,0.0,0.0,0.28,0.35,1.0,1.0,q_learning,observable,7,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_observable_seed_7.npy
100,38.49,3.6048439633359997,1.0,20.53,2.718289903597481,0.0,0.0,0.22,0.23,1.0,1.0,q_learning,observable,8,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_observable_seed_8.npy
100,37.915,3.7283072566514686,1.0,20.66,2.7394159961568447,0.0,0.0,0.25,0.32,1.0,1.0,q_learning,observable,9,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_observable_seed_9.npy
100,35.835,4.953814187068384,1.0,20.48,3.36,0.0,0.0,0.56,0.81,1.0,1.0,double_q_learning,observable,0,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_0.npz
100,37.82,4.2828261697155074,1.0,19.95,2.4428467000612213,0.0,0.0,0.35,0.49,1.0,1.0,double_q_learning,observable,1,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_1.npz
100,37.155,4.9161443225357,1.0,19.92,2.92123261655076,0.0,0.0,0.4,0.59,1.0,1.0,double_q_learning,observable,2,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_2.npz
100,37.23,4.846349141364043,1.0,20.72,3.0824665448306168,0.0,0.0,0.38,0.53,1.0,1.0,double_q_learning,observable,3,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_3.npz
100,37.28,4.415495442189925,1.0,20.51,2.740419675889078,0.0,0.0,0.36,0.51,1.0,1.0,double_q_learning,observable,4,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_4.npz
100,35.705,5.176917519142062,1.0,21.02,2.6943644890771554,0.0,0.0,0.53,0.82,1.0,1.0,double_q_learning,observable,5,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_5.npz
100,37.42,4.22120835780467,1.0,20.06,2.33160888658454,0.0,0.0,0.38,0.55,1.0,1.0,double_q_learning,observable,6,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_6.npz
100,37.255,4.007801766554828,1.0,20.57,3.2810211824979127,0.0,0.0,0.38,0.48,1.0,1.0,double_q_learning,observable,7,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_7.npz
100,38.13,4.248305544567152,1.0,20.98,3.663277221286972,0.0,0.0,0.24,0.24,1.0,1.0,double_q_learning,observable,8,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_8.npz
100,35.77,5.412679558222527,1.0,22.28,4.552098417213758,0.0,0.0,0.37,0.57,1.0,1.0,double_q_learning,observable,9,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\double_q_learning_observable_seed_9.npz
100,-508.035,154.34599533191655,0.03,119.21,5.415339324548371,1.0,15.61,1.0,19.14,0.59,0.03,random,hidden,0,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_0.npy
100,-538.33,168.92593376980338,0.07,117.52,10.726117657381911,0.99,17.49,1.0,18.41,0.59,0.07,random,hidden,1,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_1.npy
100,-514.08,161.53802524483206,0.05,118.72,6.610718569111833,0.99,15.92,1.0,19.41,0.55,0.05,random,hidden,2,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_2.npy
100,-545.115,177.2264773531314,0.04,119.01,7.16448881637762,0.98,17.56,1.0,18.89,0.56,0.04,random,hidden,3,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_3.npy
100,-525.32,145.5457405766311,0.05,118.86,5.676301612846166,1.0,16.75,1.0,18.46,0.64,0.05,random,hidden,4,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_4.npy
100,-514.13,148.25216052388578,0.03,119.37,3.6814535172944933,0.99,15.75,1.0,19.91,0.59,0.03,random,hidden,5,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_5.npy
100,-498.71,153.75352321166497,0.05,118.43,8.62120061244372,1.0,15.1,1.0,19.56,0.51,0.05,random,hidden,6,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_6.npy
100,-541.56,170.787079136567,0.05,118.53,7.490600776973766,1.0,17.56,1.0,18.39,0.56,0.05,random,hidden,7,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_7.npy
100,-522.83,164.62676301257946,0.05,118.74,6.8199999999999985,0.99,16.5,1.0,18.77,0.53,0.05,random,hidden,8,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_8.npy
100,-550.91,176.9923357097702,0.02,119.76,2.289628790874189,1.0,17.77,1.0,18.93,0.57,0.02,random,hidden,9,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\random_hidden_seed_9.npy
100,30.445,18.214402954804747,1.0,19.13,2.8970847415980083,0.13,0.25,0.67,1.12,1.0,1.0,heuristic,hidden,0,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_0.npy
100,29.31,21.949462407995327,1.0,19.66,4.545811258730392,0.2,0.39,0.45,0.7,1.0,1.0,heuristic,hidden,1,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_1.npy
100,35.4,9.046546302318914,1.0,19.02,2.181650751151522,0.07,0.09,0.46,0.77,1.0,1.0,heuristic,hidden,2,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_2.npy
100,28.755,36.05790447322196,1.0,20.09,7.765429801369657,0.12,0.38,0.52,0.8,1.0,1.0,heuristic,hidden,3,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_3.npy
100,33.99,9.152589797428922,1.0,19.11,1.999474931075656,0.1,0.11,0.6,0.94,1.0,1.0,heuristic,hidden,4,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_4.npy
100,29.14,35.13133074621569,1.0,19.39,4.298592792996331,0.13,0.32,0.62,1.05,1.0,1.0,heuristic,hidden,5,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_5.npy
100,27.96,39.24943821254006,1.0,20.58,9.127080584721492,0.15,0.42,0.49,0.75,1.0,1.0,heuristic,hidden,6,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_6.npy
100,32.235,15.379443260404454,1.0,18.94,2.374110359692658,0.15,0.22,0.6,0.9,1.0,1.0,heuristic,hidden,7,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_7.npy
100,32.34,26.854504277681237,1.0,19.16,3.3962332075403774,0.11,0.23,0.52,0.8,1.0,1.0,heuristic,hidden,8,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_8.npy
100,29.435,35.34732344888365,1.0,19.67,5.562472471841995,0.14,0.36,0.54,0.8,1.0,1.0,heuristic,hidden,9,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\heuristic_hidden_seed_9.npy
100,35.08,5.649212334476374,1.0,19.02,1.964586470481765,0.0,0.0,0.66,1.18,1.0,1.0,q_learning,hidden,0,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_0.npy
100,36.41,5.718557510421662,1.0,19.24,1.8874321179846445,0.0,0.0,0.5,0.87,1.0,1.0,q_learning,hidden,1,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_1.npy
100,36.68,4.9977594980150855,1.0,19.07,1.8934360300786501,0.0,0.0,0.53,0.85,1.0,1.0,q_learning,hidden,2,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_2.npy
100,35.89,5.427513242729123,1.0,19.31,2.0430124816065125,0.0,0.0,0.57,0.96,1.0,1.0,q_learning,hidden,3,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_3.npy
100,35.53,5.823152067394427,1.0,19.42,2.000899797591074,0.0,0.0,0.61,1.01,1.0,1.0,q_learning,hidden,4,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_4.npy
100,34.8,6.6000000000000005,1.0,19.25,1.8131464364468746,0.0,0.0,0.61,1.19,1.0,1.0,q_learning,hidden,5,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_5.npy
100,36.65,4.281062952118317,1.0,19.25,1.7853571071357126,0.0,0.0,0.56,0.82,1.0,1.0,q_learning,hidden,6,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_6.npy
100,35.7,5.5362442142665635,1.0,19.1,1.7691806012954134,0.0,0.0,0.64,1.04,1.0,1.0,q_learning,hidden,7,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_7.npy
100,36.23,5.083020755416999,1.0,19.12,1.981312696168881,0.0,0.0,0.59,0.93,1.0,1.0,q_learning,hidden,8,C:\Users\chuon\Downloads\HocMay\drone_delivery\results\models\q_learning_hidden_seed_8.npy
